GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,domain,match_score,domain_description,domain_topics,Project Size,CI_Exists_Checked,CI_Tools_Detected
tensorflow/quantum,Y,2017,934,15821,Organised but not in modules,"2 have significantly more commits than others, but 16 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",36 open < 61 closed,License provided,A number of tests https://github.com/tensorflow/quantum/tree/master/benchmarks/scripts,2025-09-14,23,35,2137.0,ML Frameworks / Libraries,4,An open-source Python framework for hybrid quantum-classical machine learning.,"algorithms, api, cirq, google, google-quantum, machine-learning, machine-learning-algorithms, machine-learning-library, nisq, python, qml, quantum, quantum-algorithms, quantum-computing, quantum-information, quantum-machine-learning, quantum-programming, quantum-simulation, sdk, tensorflow",medium,Yes,GitHub Actions
tensorflow/serving,Y,6325,9171,2292,Organised but not in modules,"1 has significantly more commits than others, but 100 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,Commit activity not negligible,67 open << 1086 closed,License provided,X 2 tests https://github.com/tensorflow/serving/tree/master/tensorflow_serving/test_util,2025-09-26,78,210,11581.3,MLOps / Deployment,4,"A flexible, high-performance serving system for machine learning models","cpp, deep-learning, deep-neural-networks, machine-learning, ml, neural-network, python, serving, tensorflow",small,Yes,GitHub Actions
tensorflow/text,N,1273,922,18446,"Organised but not in modules, not many files too","1 has significantly more commits than others, but 23 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",20 open < 50 closed,License provided,X few test,2025-08-18,245,111,4115.8,ML Frameworks / Libraries,3,Making text a first-class citizen in TensorFlow.,,medium,No,No CI config found
tensorflow/tfjs,Y,18968,6112,12161,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"100 contributers, most significant",X CI is not used on the project.,Documentation mostly in links,"Recent, Commit activity not negligible",376 open << 1828 closed,License provided,Have,2025-06-06,490,340,19620.800000000003,ML Frameworks / Libraries,3,A WebGL accelerated JavaScript library for training and deploying ML models.,"deep-learning, deep-neural-network, gpu-acceleration, javascript, machine-learning, neural-network, typescript, wasm, web-assembly, webgl",medium,Yes,GitHub Actions
tf-encrypted/tf-encrypted,Y,1235,605,22814,Organised but not in modules,"1 has significantly more commits than others, but 24 contributers",CircleCI used,Documentation provided,Commit activity not negligible,155 open < 222 closed,License provided,Quite a number of tests,2024-09-25,59,25,1425.5,ML Frameworks / Libraries,4,A Framework for Encrypted Machine Learning in TensorFlow,"confidential-computing, cryptography, deep-learning, machine-learning, privacy, secure-computation, tensorflow",medium,Yes,"Makefile (Possible CI), CircleCI"
TheAlgorithms/Python,Y,209443,3597,46108,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/TheAlgorithms/Python/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/TheAlgorithms/Python/issues/1919 and https://github.com/TheAlgorithms/Python/issues/2153, a lot of spam issues in this project by random users",https://github.com/TheAlgorithms/Python/blob/master/LICENSE.md is provided.,There is no evidence of any testing done on the project.,2025-09-24,10,1217,121366.3,ML Frameworks / Libraries,1,All Algorithms implemented in Python,"algorithm, algorithm-competitions, algorithms-implemented, algos, community-driven, education, hacktoberfest, interview, learn, practice, python, searches, sorting-algorithms, sorts",large,Yes,GitHub Actions
thu-ml/tianshou,Y,8802,1175,35503,Organised but not in modules,"1 has significantly more commits than others, but 19 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",16 open < 47 closed,License provided,A number of tests,2025-09-06,13,77,6183.3,Reinforcement Learning,6,An elegant PyTorch deep reinforcement learning library.,"a2c, atari, bcq, cql, ddpg, double-dqn, dqn, drl, imitation-learning, mujoco, npg, policy-gradient, ppo, pytorch, rl, sac, td3, transferlab, trpo",large,Yes,GitHub Actions
thunlp/OpenNRE,N,4429,177,3137,Organised but not in modules,"1 has significantly more commits than others, but 5 contributers",X CI is not used on the project.,X not much,Commit activity not negligible,all closed,License provided,X 1 test https://github.com/thunlp/OpenNRE/tree/master/tests,2024-01-10,6,8,2064.7,Natural Language Processing,4, An Open-Source Package for Neural Relation Extraction (NRE),relation-extraction,small,No,No CI config found
Tiiiger/QPyTorch,Y,285,246,3868,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Tiiiger/QPyTorch/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/Tiiiger/QPyTorch/issues/31 and https://github.com/Tiiiger/QPyTorch/issues/21",https://github.com/Tiiiger/QPyTorch/blob/master/LICENSE is provided.,There are many files related to testing,2024-05-20,2,9,457.8,Reinforcement Learning,2,Low Precision Arithmetic Simulation in PyTorch,"learning, low-precision",small,No,No CI config found
timesler/facenet-pytorch,Y,4993,252,1467,Organised but not in modules,"1 has significantly more commits than others, but 7 contributers",Travis used,Documentation mostly in links,Commit activity not negligible,9 open < 56 closed,License provided,X 3 tests,2024-08-02,5,17,2582.8,Computer Vision,3,Pretrained Pytorch face detection (MTCNN) and facial recognition (InceptionResnet) models,"face-detection, face-identification, face-recognition, face-tracking, facial-recognition, inception-resnet, mtcnn, pretrained-models, pytorch, resnet",small,Yes,GitHub Actions
tslearn-team/tslearn,Y,3037,1685,10150,X The source code of the project exists as ad-hoc scripts.,"2 has significantly more commits than others, but 23 contributers",X CI is not used on the project.,X not much,Quite alot of commits past month,21 open << 154 closed,License provided,Quite a number of tests,2025-09-26,11,39,2890.3,Domain-Specific Applications,4,The machine learning toolkit for time series analysis in Python,"dtw, dynamic-time-warping, machine-learning, machine-learning-algorithms, machinelearning, python, time-series, time-series-analysis, time-series-classification, time-series-clustering, timeseries",small,Yes,"Azure Pipelines, GitHub Actions"
uber/causalml,Y,5589,653,11144,Organised but not in modules,"2 has significantly more commits than others, but 14contributers",Travis used,Documentation provided,Commits are quite spread out,20 open < 80 closed,License provided,A number,2025-09-26,127,68,4471.5,Reinforcement Learning,1,Uplift modeling and causal inference with machine learning algorithms,"causal-inference, incubation, machine-learning, uplift-modeling",medium,Yes,"Tox (Python Testing), Makefile (Possible CI), GitHub Actions"
uber/ludwig,Y,11590,3861,95376,Organised but not in modules,"1 has significantly more commits than others, but 71 contributers",Travis used,Documentation provided,"Recent, Commit activity not negligible",82 open << 337 closed,License provided,A number,2024-10-17,243,148,10234.3,MLOps / Deployment,4,"Low-code framework for building custom LLMs, neural networks, and other AI models","computer-vision, data-centric, data-science, deep, deep-learning, deeplearning, fine-tuning, learning, llama, llama2, llm, llm-training, machine-learning, machinelearning, mistral, ml, natural-language, natural-language-processing, neural-network, pytorch",large,Yes,GitHub Actions
