GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,match_score,domain_description,domain_topics,Project Size,Created Date,created_dt,age_days,total_smells,smell_density,age_category,domain,has_ci,size_category,commit_freq,team_size,activity_level
interpretml/DiCE,Y,1446,791,7492,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/interpretml/DiCE/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,More closed issues than open. Project authors respond to issues: https://github.com/interpretml/DiCE/issues,https://github.com/interpretml/DiCE/blob/master/LICENSE,There are many files related to testing.,2025-07-13,96,23,1505.6999999999998,4,Generate Diverse Counterfactual Explanations for any machine learning model. ,"counterfactual-explanations, deep-learning, explainable-ai, explainable-ml, interpretable-machine-learning, machine-learning, xai",small,2019-05-02T09:51:02Z,2019-05-02 09:51:02,2407,702,93.69994660971703,Young,Domain-Specific Applications,True,small,120.0302243456585,Small,Low
interpretml/interpret-text,Y,426,152,6861,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/interpretml/interpret-text/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More open issues than closed issues, author does not respond frequently",https://github.com/interpretml/interpret-text/blob/master/LICENSE,There are many files related to testing.,2024-02-05,57,18,756.0,4,A library that incorporates state-of-the-art explainers for text-based machine learning models and visualizes the result with a built-in dashboard.,"azure-sdk, black-box-explanations, data-analyst, data-scientists, explainer, glass-box-explainers, grey-box-explainers, jupyter-notebook, linear-models, local-explanations, microsoft-azureml, nlp, nlp-models, nlp-scenarios, npm, python, text-classification, text-interpretability, visualization-dashboard",small,2019-09-04T16:39:48Z,2019-09-04 16:39:48,2282,279,40.664626147791864,Young,Natural Language Processing,True,small,24.32865907099036,Small,Low
jaakkopasanen/AutoEq,N,14749,896,4958,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/jaakkopasanen/AutoEq/graphs/contributors,No indications of using CI services,"There is a README, codes are not documented","No commits the past month, active before that","More closed than open, author does not respond frequently",https://github.com/jaakkopasanen/AutoEq/blob/master/LICENSE,There is no evidence of any testing done on the project.,2025-07-20,9,18,6708.400000000001,1,Automatic headphone equalization from frequency responses,,small,2018-03-04T16:37:35Z,2018-03-04 16:37:35,2831,129,26.01855586930214,Mature,Domain-Specific Applications,False,small,115.60014129282938,Small,Low
jeongyoonlee/Kaggler,Y,752,254,2665,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/jeongyoonlee/Kaggler/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, some codes are documented",No commits in the past month,"More closed than open, author does not respond frequently",https://github.com/jeongyoonlee/Kaggler/blob/master/LICENSE,There are many files related to testing.,2024-04-25,17,8,617.0,9,Code for Kaggle Data Science Competitions,"automl, feature-engineering, kaggle, kaggler, machine-learning, python",small,2015-01-28T20:51:13Z,2015-01-28 20:51:13,3962,109,40.90056285178236,Mature,Data Science / Traditional ML,True,small,23.415825340737,Small,Low
jessevig/bertviz,N,7652,308,7099,The source code of the project exists as ad-hoc scripts.,Multiple contributors: hhttps://github.com/jessevig/bertviz/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, codes are not documented",No commits in the past month,"More closed than open, author does not respond frequently",https://github.com/jessevig/bertviz/blob/master/LICENSE,Only 1 test file,2025-06-01,15,5,3303.2000000000003,6,"BertViz: Visualize Attention in NLP Models (BERT, GPT2, BART, etc.) ","bert, gpt2, machine-learning, natural-language-processing, neural-network, nlp, pytorch, roberta, transformer, transformers, visualization",small,2018-12-16T16:50:42Z,2018-12-16 16:50:42,2544,252,35.49795745879701,Young,Natural Language Processing,False,small,44.220518867924525,Small,Low
joeynmt/joeynmt,Y,702,904,9765,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/joeynmt/joeynmt/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, some codes are documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/joeynmt/joeynmt/blob/master/LICENSE,There are many files related to testing.,2024-01-25,4,30,1452.0,3,Minimalist NMT for educational purposes,"education, joey-nmt, machine-translation, neural-machine-translation, nmt, nmt-frameworks, nmt-tutorial, pytorch-transformers, rnn-pytorch, seq2seq, seq2seq-pytorch, transformer, transformer-architecture",small,2018-10-15T15:00:57Z,2018-10-15 15:00:57,2606,93,9.523809523809526,Young,ML Frameworks / Libraries,True,small,126.70222563315426,Small,Low
junyanz/pytorch-CycleGAN-and-pix2pix,Y,24516,535,2037,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",Consistent commits in the last month,More closed issues than open. Project authors respond to issues:https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/issues/1084,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/blob/master/LICENSE,There are many files related to testing.,2025-08-06,3,59,11736.9,2,Image-to-Image Translation in PyTorch,"computer-graphics, computer-vision, cyclegan, deep-learning, gan, gans, generative-adversarial-network, image-generation, image-manipulation, pix2pix, pytorch",small,2017-04-18T10:33:05Z,2017-04-18 10:33:05,3151,138,67.74668630338734,Mature,Computer Vision,False,small,62.01483655982228,Large,Low
kakao/buffalo,Y,578,580,6686,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/kakao/buffalo/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Some commits the past month,"More closed than open, author does not respond frequently",https://github.com/kakao/buffalo/blob/dev/LICENSE,There are many files related to testing.,2025-05-16,14,22,1065.2,3,TOROS Buffalo: A fast and scalable production-ready open source project for recommender systems,"cpp, machine-learning, matrix-factorization, python, recommender-system",small,2019-08-27T14:56:48Z,2019-08-27 14:56:48,2290,430,64.31349087645827,Young,Domain-Specific Applications,True,small,92.50873362445415,Small,Low
kaushaltrivedi/fast-bert,Y,1905,346,9128,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/kaushaltrivedi/fast-bert/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",Consistent commits in the last month,"More open issues than closed issues, author does not respond frequently",https://github.com/kaushaltrivedi/fast-bert/blob/master/LICENSE,There are many files related to testing.,2024-08-19,6,27,1675.8,7,Super easy library for BERT based NLP models,"bert, fast-bert, fastai, transformers",small,2019-04-18T22:01:20Z,2019-04-18 22:01:20,2421,278,30.455740578439965,Young,Natural Language Processing,True,small,52.2001239157373,Small,Low
keras-team/autokeras,Y,9269,1394,7356,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/keras-team/autokeras/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",https://github.com/keras-team/keras-tuner/graphs/contributors,Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/keras-team/autokeras/blob/master/LICENSE.txt,There are many files related to testing.,2024-12-16,4,131,8055.8,3,AutoML library for deep learning,"autodl, automated-machine-learning, automl, deep-learning, keras, machine-learning, neural-architecture-search, python, tensorflow",small,2017-11-19T23:18:20Z,2017-11-19 23:18:20,2936,157,21.343121261555194,Mature,ML Frameworks / Libraries,True,small,173.4191076294278,Large,Low
